#SYMBOL;DESCRIPTION;ISIN;CURRENCY_BASE;CONTRACT_SIZE;TICK_SIZE;TICK_VALUE;DIGITS;MIN_VOLUME;MAX_VOLUME;STEP_VOLUME;START_TIME;EXPIRATION_TIME;OPTION_MODE;OPTION_RIGHT;OPTION_STRIKE
ABEV3;AMBEV S/A   ON;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;1970.01.01 00:00:00;0;0;0.00000000
WDOF16;DOLAR MINI;BRBMEFWDO170;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2015.12.30 18:10:00;0;0;0.00000000
WDOF17;DOLAR MINI;BRBMEFWDO1B8;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.12.29 18:10:00;0;0;0.00000000
WDOF18;DOLAR MINI;BRBMEFWDO1F9;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2017.12.28 18:10:00;0;0;0.00000000
WDOF19;DOLAR MINI;BRBMEFWDO1X2;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2018.12.28 18:10:00;0;0;0.00000000
WDOF21;DOLAR MINI;BRBMEFWDO1G7;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2020.12.30 18:10:00;0;0;0.00000000
WDOF25;DOLAR MINI;BRBMEFWDO1H5;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2024.12.30 18:10:00;0;0;0.00000000
WDOG16;DOLAR MINI;BRBMEFWDO1S2;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.01.29 18:10:00;0;0;0.00000000
WDOH16;DOLAR MINI;BRBMEFWDO1T0;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.02.29 18:10:00;0;0;0.00000000
WDOJ16;DOLAR MINI;BRBMEFWDO188;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.03.31 18:10:00;0;0;0.00000000
WDOJ17;DOLAR MINI;BRBMEFWDO1C6;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2017.03.31 18:10:00;0;0;0.00000000
WDOJ18;DOLAR MINI;BRBMEFWDO1R4;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2018.03.29 18:10:00;0;0;0.00000000
WDOK16;DOLAR MINI;BRBMEFWDO0S4;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.04.29 18:10:00;0;0;0.00000000
WDOK17;DOLAR MINI;BRBMEFWDO0U0;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2017.04.28 18:10:00;0;0;0.00000000
WDOM16;DOLAR MINI;BRBMEFWDO212;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.05.31 18:10:00;0;0;0.00000000
WDON16;DOLAR MINI;BRBMEFWDO196;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.06.30 18:10:00;0;0;0.00000000
WDON17;DOLAR MINI;BRBMEFWDO1D4;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2017.06.30 18:10:00;0;0;0.00000000
WDON18;DOLAR MINI;BRBMEFWDO1W4;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2018.06.29 18:10:00;0;0;0.00000000
WDON19;DOLAR MINI;BRBMEFWDO1U8;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2019.06.28 18:10:00;0;0;0.00000000
WDON21;DOLAR MINI;BRBMEFWDO1Y0;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2021.06.30 18:10:00;0;0;0.00000000
WDOQ16;DOLAR MINI;BRBMEFWDO220;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.07.29 18:10:00;0;0;0.00000000
WDOU16;DOLAR MINI;BRBMEFWDO238;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.08.31 18:10:00;0;0;0.00000000
WDOV16;DOLAR MINI;BRBMEFWDO1A0;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.09.30 18:10:00;0;0;0.00000000
WDOV17;DOLAR MINI;BRBMEFWDO1E2;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2017.09.29 18:10:00;0;0;0.00000000
WDOV18;DOLAR MINI;BRBMEFWDO246;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2018.09.28 18:10:00;0;0;0.00000000
WDOX15;DOLAR MINI;BRBMEFWDO0R6;BRL;1;0.5;5;3;1;500;1;1970.01.01 00:00:00;2015.10.30 18:10:00;0;0;0.00000000
WDOX16;DOLAR MINI;BRBMEFWDO0T2;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.10.31 18:10:00;0;0;0.00000000
WDOZ15;DOLAR MINI;BRBMEFWDO204;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2015.11.30 18:10:00;0;0;0.00000000
WING16;IBOVESPA MINI;BRBMEFWIN1Y6;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.02.17 18:40:00;0;0;0.00000000
WING17;IBOVESPA MINI;BRBMEFWIN213;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2017.02.15 18:40:00;0;0;0.00000000
WINJ16;IBOVESPA MINI;BRBMEFWIN205;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.04.13 18:40:00;0;0;0.00000000
WINJ17;IBOVESPA MINI;BRBMEFWIN221;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2017.04.12 18:40:00;0;0;0.00000000
WINM16;IBOVESPA MINI;BRBMEFWIN1W0;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.06.15 18:40:00;0;0;0.00000000
WINM17;IBOVESPA MINI;BRBMEFWIN239;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2017.06.14 18:40:00;0;0;0.00000000
WINQ16;IBOVESPA MINI;BRBMEFWIN1Z3;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.08.17 18:40:00;0;0;0.00000000
WINV16;IBOVESPA MINI;BRBMEFWIN1V2;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.10.13 18:40:00;0;0;0.00000000
WINZ15;IBOVESPA MINI;BRBMEFWIN1S8;BRL;1;5;1;0;1;2000;1;1970.01.01 00:00:00;2015.12.16 18:40:00;0;0;0.00000000
WINZ16;IBOVESPA MINI;BRBMEFWIN1X8;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;2016.12.14 18:40:00;0;0;0.00000000
PETR3;PETROBRAS   ON;BRPETRACNOR9;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;1970.01.01 00:00:00;0;0;0.00000000
PETR4;PETROBRAS   PN;BRPETRACNPR6;BRL;1;0.01;0.01;2;100;560204279;100;1970.01.01 00:00:00;1970.01.01 00:00:00;0;0;0.00000000
VAGR3;V-AGRO      ON      NM;BRVAGRACNOR2;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;1970.01.01 00:00:00;0;0;0.00000000
VALE3;VALE        ON  ED  N1;BRVALEACNOR0;BRL;0;0;0;0;0;0;0;1970.01.01 00:00:00;1970.01.01 00:00:00;0;0;0.00000000
VALE5;VALE        PNA ED  N1;BRVALEACNPA3;BRL;1;0.01;0.01;2;100;202712772;100;1970.01.01 00:00:00;1970.01.01 00:00:00;0;0;0.00000000
